ai	 a1 j
hoàng	 hw ʷa2 ŋ
hoành	 hw ʷa2 ɲ
hoá	 hw ʷa5
hoác	 hw ʷa5 k
hoán	 hw ʷa5 n
hoãn	 hw ʷa3 n
hoạ	 hw ʷa6
hoạch	 hw ʷa6 tʃ
hoại	 hw a6 j
hoạn	 hw ʷa6 n
hoạt	 hw ʷa6 t
hoảng	 hw ʷa4 ŋ
hoắc	 hw ʷă5 k
hoằn	 hw ʷă2 n
hoặc	 hw ʷă6 k
hu	 h u1
hum	 h u1 m
hun	 h u1 n
hung	 h u1 ŋ͡m
huy	 hw ʷi1
huynh	 hw ʷi1 ɲ
huyên	 hw ʷiə1 n
huyết	 hw ʷiə5 t
huyền	 hw ʷiə2 n
huyễn	 hw ʷiə3 n
huyệt	 hw ʷiə6 t
huênh	 hw ʷe1 ɲ
huýt	 hw ʷi5 t
huấn	 hw ʷɤ̆5 n
huệ	 hw ʷe6
huống	 h uə5 ŋ
huỳnh	 hw ʷi2 ɲ
huỷ	 hw ʷi4
hy	 h i1
hà	 h a2
hài	 h a2 j
hàm	 h a2 m
hàn	 h a2 n
hàng	 h a2 ŋ
hành	 h ɛ2 ɲ
hào	 h a2 w
há	 h a5
hác	 h a5 k
hách	 h a5 tʃ
hái	 h a5 j
hám	 h a5 m
hán	 h a5 n
háo	 h a5 w
háp	 h a5 p
hát	 h a5 t
hâm	 h ɤ̆1 m
hân	 h ɤ̆1 n
hâu	 h ɤ̆1 w
hãi	 h a3 j
hãm	 h a3 m
hãn	 h a3 n
hãnh	 h ɛ3 ɲ
hão	 h a3 w
hãy	 h ă3 j
hè	 h ɛ2
hèn	 h ɛ2 n
hé	 h ɛ5
héc	 h ɛ5 k
héo	 h eo5
hép	 h ɛ5 p
hét	 h ɛ5 t
hê	 h e1
hên	 h e1 n
hình	 h i2 ɲ
hí	 h i5
hít	 h i5 t
hò	 h ɔ2
hòa	 hw ʷa2
hòi	 h ɔ2 j
hòm	 h ɔ2 m
hòn	 h ɔ2 n
hòng	 h ɔ2 ŋ͡m
hóa	 hw ʷa5
hóc	 h ɔ5 k͡p
hói	 h ɔ5 j
hóp	 h ɔ5 p
hót	 h ɔ5 t
hô	 h o1
hôi	 h o1 j
hôm	 h o1 m
hôn	 h o1 n
hông	 h o1 ŋ͡m
hù	 h u2
hùa	 h uə2
hùm	 h u2 m
hùng	 h u2 ŋ͡m
hú	 h u5
húc	 h u5 k͡p
húp	 h u5 p
hút	 h u5 t
hăm	 h ă1 m
hăng	 h ă1 ŋ
hĩnh	 h i3 ɲ
hũ	 h u3
hơi	 h ɤ1 j
hơn	 h ɤ1 n
hư	 h ɯ1
hưng	 h ɯ1 ŋ
hưu	 h ɯ1 w
hương	 h ɯə1 ŋ
hươu	 h ɯə1 w
hướng	 h ɯə5 ŋ
hưởng	 h ɯə4 ŋ
hạ	 h a6
hạc	 h a6 k
hạch	 h a6 tʃ
hại	 h a6 j
hạn	 h a6 n
hạng	 h a6 ŋ
hạnh	 h ɛ6 ɲ
hạt	 h a6 t
hả	 h a4
hải	 h a4 j
hảo	 h a4 w
hấn	 h ɤ̆5 n
hấp	 h ɤ̆5 p
hất	 h ɤ̆5 t
hấu	 h ɤ̆5 w
hầm	 h ɤ̆2 m
hầu	 h ɤ̆2 w
hẩm	 h ɤ̆4 m
hận	 h ɤ̆6 n
hậu	 h ɤ̆6 w
hắc	 h ă5 k
hắn	 h ă5 n
hắt	 h ă5 t
hằm	 h ă2 m
hằn	 h ă2 n
hằng	 h ă2 ŋ
hẳn	 h ă4 n
hẵn	 h ă3 n
hẹn	 h ɛ6 n
hẹp	 h ɛ6 p
hẹt	 h ɛ6 t
hẻm	 h ɛ4 m
hẻo	 h eo4
hếch	 h e5 tʃ
hếp	 h e5 p
hết	 h e5 t
hếu	 h ɛu5
hề	 h e2
hển	 h e4 n
hễ	 h e3
hệ	 h e6
hệt	 h e6 t
hỉ	 h i4
họ	 h ɔ6
họa	 hw ʷa6
học	 h ɔ6 k͡p
họng	 h ɔ6 ŋ͡m
họp	 h ɔ6 p
họt	 h ɔ6 t
hỏa	 hw ʷa4
hỏi	 h ɔ4 j
hỏng	 h ɔ4 ŋ͡m
hố	 h o5
hốc	 h o5 k͡p
hối	 h o5 j
hống	 h o5 ŋ͡m
hốp	 h o5 p
hốt	 h o5 t
hồ	 h o2
hồi	 h o2 j
hồn	 h o2 n
hồng	 h o2 ŋ͡m
hổ	 h o4
hổi	 h o4 j
hổn	 h o4 n
hổng	 h o4 ŋ͡m
hỗ	 h o3
hỗn	 h o3 n
hộ	 h o6
hộc	 h o6 k͡p
hội	 h o6 j
hộp	 h o6 p
hột	 h o6 t
hớn	 h ɤ5 n
hớt	 h ɤ5 t
hời	 h ɤ2 j
hờn	 h ɤ2 n
hở	 h ɤ4
hỡi	 h ɤ3 j
hợm	 h ɤ6 m
hợp	 h ɤ6 p
hợt	 h ɤ6 t
hục	 h u6 k͡p
hụp	 h u6 p
hụt	 h u6 t
hủi	 h u4 j
hủy	 h u4 j
hứa	 h ɯə5
hứng	 h ɯ5 ŋ
hừng	 h ɯ2 ŋ
hửng	 h ɯ4 ŋ
hữu	 h ɯ3 w
hực	 h ɯ6 k
im	 i1 m
in	 i1 n
inh	 i1 ɲ
ka	 k a1
ke	 k ɛ1
kem	 k ɛ1 m
ken	 k ɛ1 n
keo	 k eo1
kha	 x a1
khai	 x a1 j
kham	 x a1 m
khan	 x a1 n
khang	 x a1 ŋ
khanh	 x ɛ1 ɲ
khao	 x a1 w
khay	 x ă1 j
khe	 x ɛ1
khen	 x ɛ1 n
khi	 x i1
khin	 x i1 n
khinh	 x i1 ɲ
khiêm	 x iə1 m
khiên	 x iə1 n
khiêng	 x iə1 ŋ
khiêu	 x iə1 w
khiếm	 x iə5 m
khiến	 x iə5 n
khiếp	 x iə5 p
khiết	 x iə5 t
khiếu	 x iə5 w
khiển	 x iə4 n
khiễng	 x iə3 ŋ
kho	 x ɔ1
khoa	 xw ʷa1
khoan	 xw ʷa1 n
khoang	 xw ʷa1 ŋ
khoanh	 xw ʷa1 ɲ
khoe	 xw ʷɛ1
khoen	 xw ʷɛ1 n
khom	 x ɔ1 m
khoá	 xw ʷa5
khoác	 xw ʷa5 k
khoái	 xw a5 j
khoát	 xw ʷa5 t
khoét	 xw ʷɛ5 t
khoăn	 xw ʷă1 n
khoải	 xw a4 j
khoản	 xw ʷa4 n
khoảng	 xw ʷa4 ŋ
khoảnh	 xw ʷa4 ɲ
khoắt	 xw ʷă5 t
khu	 x u1
khua	 x uə1
khui	 x u1 j
khung	 x u1 ŋ͡m
khuya	 xw ʷiə1
khuynh	 xw ʷi1 ɲ
khuyên	 xw ʷiə1 n
khuyến	 xw ʷiə5 n
khuyết	 xw ʷiə5 t
khuân	 xw ʷɤ̆1 n
khuây	 xw ɤ̆1 j
khuôn	 x uə1 n
khuất	 xw ʷɤ̆5 t
khuấy	 xw ɤ̆5 j
khuỷu	 xw ʷiu4
khá	 x a5
khác	 x a5 k
khách	 x a5 tʃ
khám	 x a5 m
kháng	 x a5 ŋ
khánh	 x ɛ5 ɲ
khát	 x a5 t
kháu	 x ă5 w
khâm	 x ɤ̆1 m
khâu	 x ɤ̆1 w
khéo	 x eo5
khép	 x ɛ5 p
khét	 x ɛ5 t
khê	 x e1
khí	 x i5
khía	 x iə5
khích	 x i5 tʃ
khít	 x i5 t
khòm	 x ɔ2 m
khó	 x ɔ5
khóa	 xw ʷa5
khóc	 x ɔ5 k͡p
khóe	 xw ʷɛ5
khói	 x ɔ5 j
khóm	 x ɔ5 m
khóp	 x ɔ5 p
khô	 x o1
khôi	 x o1 j
khôn	 x o1 n
không	 x o1 ŋ͡m
khùng	 x u2 ŋ͡m
khúc	 x u5 k͡p
khúm	 x u5 m
khăn	 x ă1 n
khăng	 x ă1 ŋ
khơi	 x ɤ1 j
khước	 x ɯə5 k
khướt	 x ɯə5 t
khạc	 x a6 k
khạo	 x a6 w
khả	 x a4
khải	 x a4 j
khảm	 x a4 m
khản	 x a4 n
khảo	 x a4 w
khảy	 x ă4 j
khấn	 x ɤ̆5 n
khấp	 x ɤ̆5 p
khất	 x ɤ̆5 t
khấu	 x ɤ̆5 w
khẩn	 x ɤ̆4 n
khẩu	 x ɤ̆4 w
khập	 x ɤ̆6 p
khắc	 x ă5 k
khắng	 x ă5 ŋ
khắp	 x ă5 p
khắt	 x ă5 t
khẳng	 x ă4 ŋ
khẽ	 x ɛ3
khế	 x e5
khều	 x ɛu2
khễnh	 x e3 ɲ
khỉ	 x i4
khỉnh	 x i4 ɲ
khịt	 x i6 t
khỏa	 xw ʷa4
khỏe	 xw ʷɛ4
khỏi	 x ɔ4 j
khố	 x o5
khốc	 x o5 k͡p
khối	 x o5 j
khốn	 x o5 n
khống	 x o5 ŋ͡m
khổ	 x o4
khổng	 x o4 ŋ͡m
khớp	 x ɤ5 p
khờ	 x ɤ2
khởi	 x ɤ4 j
khủng	 x u4 ŋ͡m
khứ	 x ɯ5
khử	 x ɯ4
ki	 k i1
kia	 k iə1
kim	 k i1 m
kin	 k i1 n
kinh	 k i1 ɲ
kiêm	 k iə1 m
kiên	 k iə1 n
kiêng	 k iə1 ŋ
kiêu	 k iə1 w
kiếm	 k iə5 m
kiến	 k iə5 n
kiếp	 k iə5 p
kiết	 k iə5 t
kiếu	 k iə5 w
kiềm	 k iə2 m
kiềng	 k iə2 ŋ
kiều	 k iə2 w
kiểm	 k iə4 m
kiểu	 k iə4 w
kiện	 k iə6 n
kiệt	 k iə6 t
kiệu	 k iə6 w
kác	 k a5 k
kát	 k a5 t
kè	 k ɛ2
kèm	 k ɛ2 m
kèn	 k ɛ2 n
kèo	 k eo2
ké	 k ɛ5
kém	 k ɛ5 m
kéo	 k eo5
kép	 k ɛ5 p
két	 k ɛ5 t
kê	 k e1
kên	 k e1 n
kênh	 k e1 ɲ
kêu	 k ɛu1
kìa	 k iə2
kìm	 k i2 m
kí	 k i5
kích	 k i5 tʃ
kín	 k i5 n
kính	 k i5 ɲ
kíp	 k i5 p
kít	 k i5 t
kô	 k o1
kút	 k u5 t
ký	 k i5
kẹp	 k ɛ6 p
kẹt	 k ɛ6 t
kẻ	 k ɛ4
kẻo	 k eo4
kẽ	 k ɛ3
kế	 k e5
kết	 k e5 t
kề	 k e2
kềm	 k e2 m
kể	 k e4
kệ	 k e6
kịch	 k i6 tʃ
kịp	 k i6 p
kịt	 k i6 t
kỳ	 k i2
kỵ	 k i6
kỷ	 k i4
kỹ	 k i3
la	 l a1
lai	 l a1 j
lam	 l a1 m
lan	 l a1 n
lang	 l a1 ŋ
lanh	 l ɛ1 ɲ
lao	 l a1 w
lau	 l ă1 w
lay	 l ă1 j
le	 l ɛ1
lem	 l ɛ1 m
len	 l ɛ1 n
leo	 l eo1
li	 l i1
lia	 l iə1
lim	 l i1 m
linh	 l i1 ɲ
liu	 l i1 w
liêm	 l iə1 m
liên	 l iə1 n
liêng	 l iə1 ŋ
liêu	 l iə1 w
liếc	 l iə5 k
liếm	 l iə5 m
liềm	 l iə2 m
liền	 l iə2 n
liều	 l iə2 w
liễu	 l iə3 w
liệm	 l iə6 m
liệng	 l iə6 ŋ
liệt	 l iə6 t
liệu	 l iə6 w
lo	 l ɔ1
loa	 lw ʷa1
loan	 lw ʷa1 n
loi	 l ɔ1 j
lom	 l ɔ1 m
lon	 l ɔ1 n
long	 l ɔ1 ŋ͡m
loài	 lw a2 j
loàn	 lw ʷa2 n
loáng	 lw ʷa5 ŋ
loát	 lw ʷa5 t
loãng	 lw ʷa3 ŋ
loét	 lw ʷɛ5 t
loại	 lw a6 j
loạn	 lw ʷa6 n
loạng	 lw ʷa6 ŋ
loạt	 lw ʷa6 t
loẹt	 lw ʷɛ6 t
lu	 l u1
lui	 l u1 j
lum	 l u1 m
lun	 l u1 n
lung	 l u1 ŋ͡m
luyến	 lw ʷiə5 n
luyện	 lw ʷiə6 n
luân	 lw ʷɤ̆1 n
luôn	 l uə1 n
luẩn	 lw ʷɤ̆4 n
luận	 lw ʷɤ̆6 n
luật	 lw ʷɤ̆6 t
luống	 l uə5 ŋ
luồn	 l uə2 n
luồng	 l uə2 ŋ
luộc	 l uə6 k
luỵ	 lw ʷi6
luỹ	 lw ʷi3
ly	 l i1
là	 l a2
làm	 l a2 m
làn	 l a2 n
làng	 l a2 ŋ
lành	 l ɛ2 ɲ
lá	 l a5
lác	 l a5 k
lách	 l a5 tʃ
lái	 l a5 j
láng	 l a5 ŋ
lánh	 l ɛ5 ɲ
láo	 l a5 w
láp	 l a5 p
lát	 l a5 t
lâm	 l ɤ̆1 m
lân	 l ɤ̆1 n
lâng	 l ɤ̆1 ŋ
lâu	 l ɤ̆1 w
lây	 l ɤ̆1 j
lã	 l a3
lãi	 l a3 j
lãm	 l a3 m
lãng	 l a3 ŋ
lãnh	 l ɛ3 ɲ
lão	 l a3 w
lè	 l ɛ2
léc	 l ɛ5 k
lén	 l ɛ5 n
léo	 l eo5
lép	 l ɛ5 p
lét	 l ɛ5 t
lê	 l e1
lên	 l e1 n
lênh	 l e1 ɲ
lêu	 l ɛu1
lì	 l i2
lìa	 l iə2
lìm	 l i2 m
lình	 l i2 ɲ
líc	 l i5 k
lính	 l i5 ɲ
líp	 l i5 p
lít	 l i5 t
líu	 l i5 w
lò	 l ɔ2
lòa	 lw ʷa2
lòe	 lw ʷɛ2
lòi	 l ɔ2 j
lòng	 l ɔ2 ŋ͡m
ló	 l ɔ5
lóc	 l ɔ5 k͡p
lóe	 lw ʷɛ5
lói	 l ɔ5 j
lóng	 l ɔ5 ŋ͡m
lót	 l ɔ5 t
lô	 l o1
lôi	 l o1 j
lôm	 l o1 m
lôn	 l o1 n
lông	 l o1 ŋ͡m
lõa	 lw ʷa3
lõm	 l ɔ3 m
lõng	 l ɔ3 ŋ͡m
lùa	 l uə2
lùi	 l u2 j
lùm	 l u2 m
lùng	 l u2 ŋ͡m
lúa	 l uə5
lúc	 l u5 k͡p
lún	 l u5 n
lúng	 l u5 ŋ͡m
lúp	 l u5 p
lút	 l u5 t
lúy	 l u5 j
lý	 l i5
lăm	 l ă1 m
lăn	 l ă1 n
lăng	 l ă1 ŋ
lĩnh	 l i3 ɲ
lũ	 l u3
lũng	 l u3 ŋ͡m
lũy	 l u3 j
lơ	 l ɤ1
lơi	 l ɤ1 j
lơn	 l ɤ1 n
lư	 l ɯ1
lưng	 l ɯ1 ŋ
lưu	 l ɯ1 w
lương	 l ɯə1 ŋ
lưới	 l ɯə5 j
lướt	 l ɯə5 t
lười	 l ɯə2 j
lường	 l ɯə2 ŋ
lưỡi	 l ɯə3 j
lưỡng	 l ɯə3 ŋ
lược	 l ɯə6 k
lượm	 l ɯə6 m
lượn	 l ɯə6 n
lượng	 l ɯə6 ŋ
lượt	 l ɯə6 t
lạ	 l a6
lạc	 l a6 k
lại	 l a6 j
lạm	 l a6 m
lạng	 l a6 ŋ
lạnh	 l ɛ6 ɲ
lạp	 l a6 p
lạt	 l a6 t
lạy	 l ă6 j
lả	 l a4
lải	 l a4 j
lảm	 l a4 m
lảng	 l a4 ŋ
lảo	 l a4 w
lấm	 l ɤ̆5 m
lấn	 l ɤ̆5 n
lấp	 l ɤ̆5 p
lấy	 l ɤ̆5 j
lầm	 l ɤ̆2 m
lần	 l ɤ̆2 n
lầu	 l ɤ̆2 w
lầy	 l ɤ̆2 j
lẩm	 l ɤ̆4 m
lẩn	 l ɤ̆4 n
lẩy	 l ɤ̆4 j
lẫm	 l ɤ̆3 m
lẫn	 l ɤ̆3 n
lẫy	 l ɤ̆3 j
lận	 l ɤ̆6 n
lập	 l ɤ̆6 p
lật	 l ɤ̆6 t
lậu	 l ɤ̆6 w
lắc	 l ă5 k
lắm	 l ă5 m
lắng	 l ă5 ŋ
lắp	 l ă5 p
lằm	 l ă2 m
lằn	 l ă2 n
lẳng	 l ă4 ŋ
lặn	 l ă6 n
lặng	 l ă6 ŋ
lặp	 l ă6 p
lẹ	 l ɛ6
lẻ	 l ɛ4
lẻn	 l ɛ4 n
lẻo	 l eo4
lẽ	 l ɛ3
lẽo	 l eo3
lế	 l e5
lết	 l e5 t
lề	 l e2
lều	 l ɛu2
lể	 l e4
lễ	 l e3
lệ	 l e6
lệch	 l e6 tʃ
lệnh	 l e6 ɲ
lỉm	 l i4 m
lịch	 l i6 tʃ
lịm	 l i6 m
lọ	 l ɔ6
lọc	 l ɔ6 k͡p
lọi	 l ɔ6 j
lọn	 l ɔ6 n
lọng	 l ɔ6 ŋ͡m
lọt	 l ɔ6 t
lỏi	 l ɔ4 j
lỏng	 l ɔ4 ŋ͡m
lố	 l o5
lốc	 l o5 k͡p
lối	 l o5 j
lốm	 l o5 m
lốt	 l o5 t
lồ	 l o2
lồi	 l o2 j
lồng	 l o2 ŋ͡m
lỗ	 l o3
lỗi	 l o3 j
lộ	 l o6
lộc	 l o6 k͡p
lội	 l o6 j
lộn	 l o6 n
lộng	 l o6 ŋ͡m
lột	 l o6 t
lớn	 l ɤ5 n
lớp	 l ɤ5 p
lờ	 l ɤ2
lời	 l ɤ2 j
lờn	 l ɤ2 n
lở	 l ɤ4
lởm	 l ɤ4 m
lỡ	 l ɤ3
lợi	 l ɤ6 j
lợm	 l ɤ6 m
lợp	 l ɤ6 p
lợt	 l ɤ6 t
lụa	 l uə6
lục	 l u6 k͡p
lụi	 l u6 j
lụn	 l u6 n
lụng	 l u6 ŋ͡m
lụt	 l u6 t
lụy	 l u6 j
lủng	 l u4 ŋ͡m
lứa	 l ɯə5
lừa	 l ɯə2
lừng	 l ɯ2 ŋ
lửa	 l ɯə4
lửng	 l ɯ4 ŋ
lữ	 l ɯ3
lữa	 l ɯə3
lự	 l ɯ6
lựa	 l ɯə6
lực	 l ɯ6 k
lựu	 l ɯ6 w
lỳ	 l i2
lỵ	 l i6
ma	 m a1
mai	 m a1 j
mam	 m a1 m
man	 m a1 n
mang	 m a1 ŋ
manh	 m ɛ1 ɲ
mao	 m a1 w
mau	 m ă1 w
may	 m ă1 j
me	 m ɛ1
mem	 m ɛ1 m
men	 m ɛ1 n
meo	 m eo1
mi	 m i1
mia	 m iə1
mim	 m i1 m
min	 m i1 n
minh	 m i1 ɲ
miên	 m iə1 n
miêu	 m iə1 w
miến	 m iə5 n
miếng	 m iə5 ŋ
miếu	 m iə5 w
miền	 m iə2 n
miễn	 m iə3 n
miễu	 m iə3 w
miệc	 m iə6 k
miện	 m iə6 n
miệng	 m iə6 ŋ
miệt	 m iə6 t
mo	 m ɔ1
moi	 m ɔ1 j
mon	 m ɔ1 n
mong	 m ɔ1 ŋ͡m
mu	 m u1
mua	 m uə1
mui	 m u1 j
mun	 m u1 n
muôn	 m uə1 n
muông	 m uə1 ŋ
muối	 m uə5 j
muốn	 m uə5 n
muỗi	 m uə3 j
muỗng	 m uə3 ŋ
muội	 m uə6 j
muộn	 m uə6 n
my	 m i1
mà	 m a2
mài	 m a2 j
màn	 m a2 n
màng	 m a2 ŋ
màu	 m ă2 w
mày	 m ă2 j
má	 m a5
mác	 m a5 k
mách	 m a5 tʃ
mái	 m a5 j
máng	 m a5 ŋ
mánh	 m ɛ5 ɲ
máp	 m a5 p
mát	 m a5 t
máu	 m ă5 w
máy	 m ă5 j
mâm	 m ɤ̆1 m
mâu	 m ɤ̆1 w
mây	 m ɤ̆1 j
mã	 m a3
mãi	 m a3 j
mãn	 m a3 n
mãnh	 m ɛ3 ɲ
mão	 m a3 w
mè	 m ɛ2
mèm	 m ɛ2 m
mèo	 m eo2
mé	 m ɛ5
méc	 m ɛ5 k
méo	 m eo5
mép	 m ɛ5 p
mét	 m ɛ5 t
mê	 m e1
mên	 m e1 n
mênh	 m e1 ɲ
mì	 m i2
mình	 m i2 ɲ
mí	 m i5
mích	 m i5 tʃ
mím	 m i5 m
míp	 m i5 p
mít	 m i5 t
mò	 m ɔ2
mòn	 m ɔ2 n
mòng	 m ɔ2 ŋ͡m
mó	 m ɔ5
móc	 m ɔ5 k͡p
món	 m ɔ5 n
móng	 m ɔ5 ŋ͡m
mót	 m ɔ5 t
mô	 m o1
môi	 m o1 j
môn	 m o1 n
mông	 m o1 ŋ͡m
mõm	 m ɔ3 m
mù	 m u2
mùa	 m uə2
mùi	 m u2 j
mùng	 m u2 ŋ͡m
múa	 m uə5
múc	 m u5 k͡p
mút	 m u5 t
măn	 m ă1 n
mũ	 m u3
mũi	 m u3 j
mơ	 m ɤ1
mơn	 m ɤ1 n
mưa	 m ɯə1
mưu	 m ɯ1 w
mươi	 m ɯə1 j
mương	 m ɯə1 ŋ
mướn	 m ɯə5 n
mướt	 m ɯə5 t
mười	 m ɯə2 j
mượn	 m ɯə6 n
mượt	 m ɯə6 t
mạ	 m a6
mạc	 m a6 k
mạch	 m a6 tʃ
mại	 m a6 j
mạn	 m a6 n
mạng	 m a6 ŋ
mạnh	 m ɛ6 ɲ
mạo	 m a6 w
mạp	 m a6 p
mạt	 m a6 t
mả	 m a4
mải	 m a4 j
mảng	 m a4 ŋ
mảnh	 m ɛ4 ɲ
mấp	 m ɤ̆5 p
mất	 m ɤ̆5 t
mấu	 m ɤ̆5 w
mấy	 m ɤ̆5 j
mầm	 m ɤ̆2 m
mầu	 m ɤ̆2 w
mầy	 m ɤ̆2 j
mẩn	 m ɤ̆4 n
mẩu	 m ɤ̆4 w
mẩy	 m ɤ̆4 j
mẫm	 m ɤ̆3 m
mẫn	 m ɤ̆3 n
mẫu	 m ɤ̆3 w
mập	 m ɤ̆6 p
mật	 m ɤ̆6 t
mậu	 m ɤ̆6 w
mắc	 m ă5 k
mắn	 m ă5 n
mắng	 m ă5 ŋ
mắt	 m ă5 t
mặc	 m ă6 k
mặn	 m ă6 n
mặt	 m ă6 t
mẹ	 m ɛ6
mẹo	 m eo6
mẹt	 m ɛ6 t
mẻ	 m ɛ4
mẽ	 m ɛ3
mếch	 m e5 tʃ
mến	 m e5 n
mết	 m e5 t
mềm	 m e2 m
mền	 m e2 n
mệnh	 m e6 ɲ
mệt	 m e6 t
mỉ	 m i4
mỉa	 m iə4
mỉm	 m i4 m
mị	 m i6
mịn	 m i6 n
mịt	 m i6 t
mọc	 m ɔ6 k͡p
mọi	 m ɔ6 j
mọn	 m ɔ6 n
mọng	 m ɔ6 ŋ͡m
mọp	 m ɔ6 p
mọt	 m ɔ6 t
mỏ	 m ɔ4
mỏi	 m ɔ4 j
mỏm	 m ɔ4 m
mỏng	 m ɔ4 ŋ͡m
mốc	 m o5 k͡p
mối	 m o5 j
mống	 m o5 ŋ͡m
mốp	 m o5 p
mốt	 m o5 t
mồ	 m o2
mồi	 m o2 j
mồm	 m o2 m
mồn	 m o2 n
mồng	 m o2 ŋ͡m
mổ	 m o4
mỗi	 m o3 j
mộ	 m o6
mộc	 m o6 k͡p
mộng	 m o6 ŋ͡m
một	 m o6 t
mớ	 m ɤ5
mới	 m ɤ5 j
mớm	 m ɤ5 m
mờ	 m ɤ2
mời	 m ɤ2 j
mở	 m ɤ4
mởn	 m ɤ4 n
mỡ	 m ɤ3
mụ	 m u6
mục	 m u6 k͡p
mụn	 m u6 n
mụt	 m u6 t
mủ	 m u4
mủi	 m u4 j
mứa	 m ɯə5
mức	 m ɯ5 k
mừng	 m ɯ2 ŋ
mửa	 m ɯə4
mực	 m ɯ6 k
mỹ	 m i3
na	 n a1
nai	 n a1 j
nam	 n a1 m
nan	 n a1 n
nang	 n a1 ŋ
nanh	 n ɛ1 ɲ
nao	 n a1 w
nay	 n ă1 j
ne	 n ɛ1
nem	 n ɛ1 m
neo	 n eo1
nga	 ŋ a1
ngai	 ŋ a1 j
ngang	 ŋ a1 ŋ
ngao	 ŋ a1 w
ngay	 ŋ ă1 j
nghe	 ŋ ɛ1
nghi	 ŋ i1
nghiêm	 ŋ iə1 m
nghiên	 ŋ iə1 n
nghiêng	 ŋ iə1 ŋ
nghiến	 ŋ iə5 n
nghiền	 ŋ iə2 n
nghiệm	 ŋ iə6 m
nghiện	 ŋ iə6 n
nghiệp	 ŋ iə6 p
nghiệt	 ŋ iə6 t
nghèo	 ŋ eo2
nghé	 ŋ ɛ5
nghén	 ŋ ɛ5 n
nghênh	 ŋ e1 ɲ
nghêu	 ŋ ɛu1
nghìn	 ŋ i2 n
nghĩ	 ŋ i3
nghĩa	 ŋ iə3
nghẹt	 ŋ ɛ6 t
nghẽn	 ŋ ɛ3 n
nghề	 ŋ e2
nghễ	 ŋ e3
nghệ	 ŋ e6
nghỉ	 ŋ i4
nghị	 ŋ i6
nghịch	 ŋ i6 tʃ
ngoa	 ŋw ʷa1
ngoai	 ŋw a1 j
ngoan	 ŋw ʷa1 n
ngoi	 ŋ ɔ1 j
ngon	 ŋ ɔ1 n
ngoài	 ŋw a2 j
ngoái	 ŋw a5 j
ngoãn	 ŋw ʷa3 n
ngoạc	 ŋw ʷa6 k
ngoại	 ŋw a6 j
ngoảnh	 ŋw ʷa4 ɲ
ngu	 ŋ u1
nguy	 ŋw ʷi1
nguyên	 ŋw ʷiə1 n
nguyền	 ŋw ʷiə2 n
nguyện	 ŋw ʷiə6 n
nguyệt	 ŋw ʷiə6 t
nguôi	 ŋ uə1 j
nguệch	 ŋw ʷe6 tʃ
nguồn	 ŋ uə2 n
nguội	 ŋ uə6 j
ngà	 ŋ a2
ngài	 ŋ a2 j
ngàn	 ŋ a2 n
ngàng	 ŋ a2 ŋ
ngành	 ŋ ɛ2 ɲ
ngào	 ŋ a2 w
ngày	 ŋ ă2 j
ngác	 ŋ a5 k
ngách	 ŋ a5 tʃ
ngán	 ŋ a5 n
ngát	 ŋ a5 t
ngáy	 ŋ ă5 j
ngâm	 ŋ ɤ̆1 m
ngân	 ŋ ɤ̆1 n
ngây	 ŋ ɤ̆1 j
ngã	 ŋ a3
ngò	 ŋ ɔ2
ngòi	 ŋ ɔ2 j
ngó	 ŋ ɔ5
ngóc	 ŋ ɔ5 k͡p
ngói	 ŋ ɔ5 j
ngón	 ŋ ɔ5 n
ngóng	 ŋ ɔ5 ŋ͡m
ngót	 ŋ ɔ5 t
ngô	 ŋ o1
ngôi	 ŋ o1 j
ngôn	 ŋ o1 n
ngông	 ŋ o1 ŋ͡m
ngõ	 ŋ ɔ3
ngùng	 ŋ u2 ŋ͡m
ngút	 ŋ u5 t
ngăm	 ŋ ă1 m
ngăn	 ŋ ă1 n
ngũ	 ŋ u3
ngơ	 ŋ ɤ1
ngơi	 ŋ ɤ1 j
ngư	 ŋ ɯ1
ngưng	 ŋ ɯ1 ŋ
ngươi	 ŋ ɯə1 j
ngước	 ŋ ɯə5 k
người	 ŋ ɯə2 j
ngưỡng	 ŋ ɯə3 ŋ
ngược	 ŋ ɯə6 k
ngượng	 ŋ ɯə6 ŋ
ngạc	 ŋ a6 k
ngạch	 ŋ a6 tʃ
ngại	 ŋ a6 j
ngạn	 ŋ a6 n
ngạnh	 ŋ ɛ6 ɲ
ngạo	 ŋ a6 w
ngạt	 ŋ a6 t
ngả	 ŋ a4
ngải	 ŋ a4 j
ngấm	 ŋ ɤ̆5 m
ngất	 ŋ ɤ̆5 t
ngấu	 ŋ ɤ̆5 w
ngấy	 ŋ ɤ̆5 j
ngầm	 ŋ ɤ̆2 m
ngần	 ŋ ɤ̆2 n
ngầu	 ŋ ɤ̆2 w
ngẩn	 ŋ ɤ̆4 n
ngẩng	 ŋ ɤ̆4 ŋ
ngẫm	 ŋ ɤ̆3 m
ngẫu	 ŋ ɤ̆3 w
ngậm	 ŋ ɤ̆6 m
ngập	 ŋ ɤ̆6 p
ngậy	 ŋ ɤ̆6 j
ngắm	 ŋ ă5 m
ngắn	 ŋ ă5 n
ngắt	 ŋ ă5 t
ngặt	 ŋ ă6 t
ngọc	 ŋ ɔ6 k͡p
