a	a1
đong	d ɔ1 ŋ͡m
đòng	d ɔ2 ŋ͡m
đóng	d ɔ5 ŋ͡m
đọng	d ɔ6 ŋ͡m
đót	d ɔ5 t
đô	d o1
đồ	d o2
đổ	d o4
đỗ	d o3
đố	d o5
độ	d o6
đốc	d o5 k͡p
độc	d o6 k͡p
đôi	d o1 j
đồi	d o2 j
đổi	d o4 j
đỗi	d o3 j
đối	d o5 j
đội	d o6 j
đốm	d o5 m
đôn	d o1 n
đồn	d o2 n
đốn	d o5 n
độn	d o6 n
đông	d o1 ŋ͡m
đồng	d o2 ŋ͡m
đổng	d o4 ŋ͡m
đống	d o5 ŋ͡m
động	d o6 ŋ͡m
độp	d o6 p
đốt	d o5 t
đột	d o6 t
đơ	d ɤ1
đờ	d ɤ2
đỡ	d ɤ3
đời	d ɤ2 j
đới	d ɤ5 j
đợi	d ɤ6 j
đơm	d ɤ1 m
đờm	d ɤ2 m
đơn	d ɤ1 n
đờn	d ɤ2 n
đởn	d ɤ4 n
đớn	d ɤ5 n
đớp	d ɤ5 p
đợp	d ɤ6 p
đợt	d ɤ6 t
đu	d u1
đủ	d u4
đú	d u5
đua	d uə1
đùa	d uə2
đũa	d uə3
đúc	d u5 k͡p
đục	d u6 k͡p
đui	d u1 j
đùi	d u2 j
đủi	d u4 j
đùm	d u2 m
đúm	d u5 m
đun	d u1 n
đụn	d u6 n
đung	d u1 ŋ͡m
đùng	d u2 ŋ͡m
đủng	d u4 ŋ͡m
đũng	d u3 ŋ͡m
đúng	d u5 ŋ͡m
đụng	d u6 ŋ͡m
đuốc	d uə5 k
đuôi	d uə1 j
đuổi	d uə4 j
đuối	d uə5 j
đuột	d uə6 t
đúp	d u5 p
đút	d u5 t
đừ	d ɯ2
đưa	d ɯə1
đứa	d ɯə5
đức	d ɯ5 k
đực	d ɯ6 k
đừng	d ɯ2 ŋ
đứng	d ɯ5 ŋ
đựng	d ɯ6 ŋ
đước	d ɯə5 k
được	d ɯə6 k
đười	d ɯə2 j
đượm	d ɯə6 m
đương	d ɯə1 ŋ
đường	d ɯə2 ŋ
đứt	d ɯ5 t
e	ɛ1
é	ɛ5
em	ɛ1 m
ẻn	ɛ4 n
én	ɛ5 n
eo	eo1
èo	eo2
éo	eo5
ẹo	eo6
ép	ɛ5 p
ẹp	ɛ6 p
ê	e1
ế	e5
ếch	e5 tʃ
êm	e1 m
ếm	e5 m
ga	ɣ a1
gà	ɣ a2
gả	ɣ a4
gã	ɣ a3
gạ	ɣ a6
gác	ɣ a5 k
gạch	ɣ a6 tʃ
gai	ɣ a1 j
gài	ɣ a2 j
gãi	ɣ a3 j
gái	ɣ a5 j
gam	ɣ a1 m
gan	ɣ a1 n
gàn	ɣ a2 n
gán	ɣ a5 n
gạn	ɣ a6 n
gang	ɣ a1 ŋ
gàng	ɣ a2 ŋ
ganh	ɣ ɛ1 ɲ
gành	ɣ ɛ2 ɲ
gánh	ɣ ɛ5 ɲ
gao	ɣ a1 w
gào	ɣ a2 w
gáo	ɣ a5 w
gạo	ɣ a6 w
gáp	ɣ a5 p
gạt	ɣ a6 t
gàu	ɣ ă2 w
gay	ɣ ă1 j
gảy	ɣ ă4 j
gãy	ɣ ă3 j
gáy	ɣ ă5 j
găm	ɣ ă1 m
gằm	ɣ ă2 m
gắm	ɣ ă5 m
gặm	ɣ ă6 m
gằn	ɣ ă2 n
gắn	ɣ ă5 n
găng	ɣ ă1 ŋ
gắng	ɣ ă5 ŋ
gặng	ɣ ă6 ŋ
gắp	ɣ ă5 p
gặp	ɣ ă6 p
gắt	ɣ ă5 t
gặt	ɣ ă6 t
gấc	ɣ ɤ̆5 k
gầm	ɣ ɤ̆2 m
gẩm	ɣ ɤ̆4 m
gẫm	ɣ ɤ̆3 m
gân	ɣ ɤ̆1 n
gần	ɣ ɤ̆2 n
gấp	ɣ ɤ̆5 p
gập	ɣ ɤ̆6 p
gật	ɣ ɤ̆6 t
gầu	ɣ ɤ̆2 w
gẫu	ɣ ɤ̆3 w
gấu	ɣ ɤ̆5 w
gây	ɣ ɤ̆1 j
gầy	ɣ ɤ̆2 j
gậy	ɣ ɤ̆6 j
ghe	ɣ ɛ1
ghè	ɣ ɛ2
ghẻ	ɣ ɛ4
ghẽ	ɣ ɛ3
ghé	ɣ ɛ5
ghẹ	ɣ ɛ6
ghém	ɣ ɛ5 m
ghen	ɣ ɛ1 n
ghèn	ɣ ɛ2 n
ghẹo	ɣ eo6
ghép	ɣ ɛ5 p
ghét	ɣ ɛ5 t
ghê	ɣ e1
ghề	ɣ e2
ghế	ɣ e5
ghềnh	ɣ e2 ɲ
ghi	ɣ i1
ghì	ɣ i2
ghiếc	ɣ iə5 k
ghiền	ɣ iə2 n
ghim	ɣ i1 m
ghìm	ɣ i2 m
gì	ɣ i2
gỉ	ɣ i4
gia	j a1
già	j a2
giả	j a4
giã	j a3
giá	j a5
giác	j a5 k
giai	j a1 j
giải	j a4 j
giãi	j a3 j
giam	j a1 m
giảm	j a4 m
giám	j a5 m
gian	j a1 n
giàn	j a2 n
giản	j a4 n
giãn	j a3 n
gián	j a5 n
giang	j a1 ŋ
giàng	j a2 ŋ
giảng	j a4 ŋ
giáng	j a5 ŋ
gianh	j ɛ1 ɲ
giành	j ɛ2 ɲ
giao	j a1 w
giảo	j a4 w
giáo	j a5 w
giáo…	j a5 w
giáp	j a5 p
giàu	j ă2 w
giày	j ă2 j
giãy	j ă3 j
giặc	j ă6 k
giăng	j ă1 ŋ
giằng	j ă2 ŋ
giắt	j ă5 t
giặt	j ă6 t
giấc	j ɤ̆5 k
giâm	j ɤ̆1 m
giẫm	j ɤ̆3 m
giấm	j ɤ̆5 m
giận	j ɤ̆6 n
giập	j ɤ̆6 p
giật	j ɤ̆6 t
giấu	j ɤ̆5 w
giậu	j ɤ̆6 w
giây	j ɤ̆1 j
giầy	j ɤ̆2 j
giấy	j ɤ̆5 j
giẻ	j ɛ4
gié	j ɛ5
gièm	j ɛ2 m
gieo	j eo1
giê	j e1
giếm	j e5 m
giêng	j e1 ŋ
giềng	j e2 ŋ
giếng	j e5 ŋ
giết	j e5 t
giễu	j ɛu3
gìn	z i2 n
giò	j ɔ2
giỏ	j ɔ4
gió	j ɔ5
giòi	j ɔ2 j
giỏi	j ɔ4 j
giòn	j ɔ2 n
gióng	j ɔ5 ŋ͡m
giọng	j ɔ6 ŋ͡m
gióp	j ɔ5 p
giọt	j ɔ6 t
giỗ	j o3
giông	j o1 ŋ͡m
giống	j o5 ŋ͡m
giơ	j ɤ1
giờ	j ɤ2
giở	j ɤ4
giời	j ɤ2 j
giới	j ɤ5 j
giỡn	j ɤ3 n
giũ	j u3
giũa	j uə3
giụa	j uə6
giục	j u6 k͡p
giụi	j u6 j
giùm	j u2 m
giun	j u1 n
giúp	j u5 p
giữ	j ɯ3
giữa	j ɯə3
giương	j ɯə1 ŋ
giường	j ɯə2 ŋ
giựt	j ɯ6 t
go	ɣ ɔ1
gò	ɣ ɔ2
gõ	ɣ ɔ3
góa	ɣw ʷa5
góc	ɣ ɔ5 k͡p
gỏi	ɣ ɔ4 j
gói	ɣ ɔ5 j
gọi	ɣ ɔ6 j
gom	ɣ ɔ1 m
gòn	ɣ ɔ2 n
gọn	ɣ ɔ6 n
gỏng	ɣ ɔ4 ŋ͡m
gọng	ɣ ɔ6 ŋ͡m
góp	ɣ ɔ5 p
gót	ɣ ɔ5 t
gọt	ɣ ɔ6 t
gô	ɣ o1
gồ	ɣ o2
gổ	ɣ o4
gỗ	ɣ o3
gốc	ɣ o5 k͡p
gộc	ɣ o6 k͡p
gôi	ɣ o1 j
gối	ɣ o5 j
gội	ɣ o6 j
gồm	ɣ o2 m
gốm	ɣ o5 m
gôn	ɣ o1 n
gông	ɣ o1 ŋ͡m
gồng	ɣ o2 ŋ͡m
gộp	ɣ o6 p
gờ	ɣ ɤ2
gỡ	ɣ ɤ3
gởi	ɣ ɤ4 j
gợi	ɣ ɤ6 j
gờm	ɣ ɤ2 m
gớm	ɣ ɤ5 m
gợn	ɣ ɤ6 n
gù	ɣ u2
gú	ɣ u5
gục	ɣ u6 k͡p
gũi	ɣ u3 j
guốc	ɣ uə5 k
guộc	ɣ uə6 k
guồng	ɣ uə2 ŋ
gút	ɣ u5 t
gửi	ɣ ɯ4 j
gừng	ɣ ɯ2 ŋ
gươm	ɣ ɯə1 m
gườm	ɣ ɯə2 m
gương	ɣ ɯə1 ŋ
gượng	ɣ ɯə6 ŋ
ha	h a1
hà	h a2
hả	h a4
há	h a5
hạ	h a6
hác	h a5 k
hạc	h a6 k
hách	h a5 tʃ
hạch	h a6 tʃ
hai	h a1 j
hài	h a2 j
hải	h a4 j
hãi	h a3 j
hái	h a5 j
hại	h a6 j
ham	h a1 m
hàm	h a2 m
hãm	h a3 m
hám	h a5 m
hạm	h a6 m
han	h a1 n
hàn	h a2 n
hãn	h a3 n
hán	h a5 n
hạn	h a6 n
hang	h a1 ŋ
hàng	h a2 ŋ
hãng	h a3 ŋ
háng	h a5 ŋ
hạng	h a6 ŋ
hanh	h ɛ1 ɲ
hành	h ɛ2 ɲ
hãnh	h ɛ3 ɲ
hạnh	h ɛ6 ɲ
hao	h a1 w
hào	h a2 w
hảo	h a4 w
hão	h a3 w
háo	h a5 w
hạo	h a6 w
háp	h a5 p
hạp	h a6 p
hát	h a5 t
hạt	h a6 t
hàu	h ă2 w
háu	h ă5 w
hay	h ă1 j
hãy	h ă3 j
hắc	h ă5 k
hặc	h ă6 k
hăm	h ă1 m
hằm	h ă2 m
hằn	h ă2 n
hẳn	h ă4 n
hẵn	h ă3 n
hắn	h ă5 n
hăng	h ă1 ŋ
hằng	h ă2 ŋ
hẵng	h ă3 ŋ
hắng	h ă5 ŋ
hắt	h ă5 t
hâm	h ɤ̆1 m
hầm	h ɤ̆2 m
hẩm	h ɤ̆4 m
hậm	h ɤ̆6 m
hân	h ɤ̆1 n
hấn	h ɤ̆5 n
hận	h ɤ̆6 n
hẫng	h ɤ̆3 ŋ
hấp	h ɤ̆5 p
hập	h ɤ̆6 p
hất	h ɤ̆5 t
hâu	h ɤ̆1 w
hầu	h ɤ̆2 w
hấu	h ɤ̆5 w
hậu	h ɤ̆6 w
hầy	h ɤ̆2 j
he	h ɛ1
hè	h ɛ2
hé	h ɛ5
hẹ	h ɛ6
hẻm	h ɛ4 m
hen	h ɛ1 n
hèn	h ɛ2 n
hẹn	h ɛ6 n
heo	h eo1
héo	h eo5
hẹp	h ɛ6 p
hét	h ɛ5 t
hê	h e1
hề	h e2
hễ	h e3
hệ	h e6
hếch	h e5 tʃ
hên	h e1 n
hển	h e4 n
hến	h e5 n
hênh	h e1 ɲ
hết	h e5 t
hệt	h e6 t
hi	h i1
hỉ	h i4
hí	h i5
hia	h iə1
hiềm	h iə2 m
hiểm	h iə4 m
hiếm	h iə5 m
hiên	h iə1 n
hiền	h iə2 n
hiển	h iə4 n
hiến	h iə5 n
hiện	h iə6 n
hiếp	h iə5 p
hiệp	h iə6 p
hiểu	h iə4 w
hiếu	h iə5 w
hiệu	h iə6 w
him	h i1 m
hin	h i1 n
hình	h i2 ɲ
hỉnh	h i4 ɲ
hĩnh	h i3 ɲ
híp	h i5 p
hít	h i5 t
hiu	h i1 w
ho	h ɔ1
hò	h ɔ2
họ	h ɔ6
hoa	hw ʷa1
hoả	hw ʷa4
hoá	hw ʷa5
hoạ	hw ʷa6
hòa	hw ʷa2
hỏa	hw ʷa4
hóa	hw ʷa5
họa	hw ʷa6
hoác	hw ʷa5 k
hoạch	hw ʷa6 tʃ
hoài	hw a2 j
hoải	hw a4 j
hoại	hw a6 j
hoan	hw ʷa1 n
hoàn	hw ʷa2 n
hoãn	hw ʷa3 n
hoán	hw ʷa5 n
hoạn	hw ʷa6 n
hoang	hw ʷa1 ŋ
hoàng	hw ʷa2 ŋ
hoảng	hw ʷa4 ŋ
hoành	hw ʷa2 ɲ
hoảnh	hw ʷa4 ɲ
hoạnh	hw ʷa6 ɲ
hoạt	hw ʷa6 t
hoay	hw ă1 j
hoắc	hw ʷă5 k
hoặc	hw ʷă6 k
hoắt	hw ʷă5 t
hóc	h ɔ5 k͡p
học	h ɔ6 k͡p
hoe	hw ʷɛ1
hoẹ	hw ʷɛ6
họe	hw ʷɛ6
hoen	hw ʷɛ1 n
hoét	hw ʷɛ5 t
hoi	h ɔ1 j
hỏi	h ɔ4 j
hói	h ɔ5 j
hom	h ɔ1 m
hòm	h ɔ2 m
hóm	h ɔ5 m
hon	h ɔ1 n
hòn	h ɔ2 n
hong	h ɔ1 ŋ͡m
hòng	h ɔ2 ŋ͡m
hỏng	h ɔ4 ŋ͡m
hóng	h ɔ5 ŋ͡m
họng	h ɔ6 ŋ͡m
hóp	h ɔ5 p
họp	h ɔ6 p
hót	h ɔ5 t
hô	h o1
hồ	h o2
hổ	h o4
hỗ	h o3
hố	h o5
hộ	h o6
hốc	h o5 k͡p
hộc	h o6 k͡p
hôi	h o1 j
hồi	h o2 j
hổi	h o4 j
hối	h o5 j
hội	h o6 j
hôm	h o1 m
hổm	h o4 m
hôn	h o1 n
hồn	h o2 n
hổn	h o4 n
hỗn	h o3 n
hông	h o1 ŋ͡m
hồng	h o2 ŋ͡m
hổng	h o4 ŋ͡m
hống	h o5 ŋ͡m
hộp	h o6 p
hốt	h o5 t
hột	h o6 t
hơ	h ɤ1
hờ	h ɤ2
hở	h ɤ4
hớ	h ɤ5
hơi	h ɤ1 j
hời	h ɤ2 j
hởi	h ɤ4 j
hỡi	h ɤ3 j
hợi	h ɤ6 j
hợm	h ɤ6 m
hơn	h ɤ1 n
hờn	h ɤ2 n
hớn	h ɤ5 n
hớp	h ɤ5 p
hợp	h ɤ6 p
hớt	h ɤ5 t
hợt	h ɤ6 t
hù	h u2
hủ	h u4
hũ	h u3
hú	h u5
hụ	h u6
hùa	h uə2
huân	hw ʷɤ̆1 n
huấn	hw ʷɤ̆5 n
húc	h u5 k͡p
hục	h u6 k͡p
huê	hw ʷe1
huề	hw ʷe2
huế	hw ʷe5
huệ	hw ʷe6
huênh	hw ʷe1 ɲ
hủi	h u4 j
húi	h u5 j
hụi	h u6 j
hùm	h u2 m
hũm	h u3 m
hun	h u1 n
hùn	h u2 n
hung	h u1 ŋ͡m
hùng	h u2 ŋ͡m
húng	h u5 ŋ͡m
huống	h uə5 ŋ
huơ	h uə1
húp	h u5 p
hút	h u5 t
hụt	h u6 t
huy	hw ʷi1
huỷ	hw ʷi4
hủy	h u4 j
húy	h u5 j
huých	hw ʷi5 tʃ
huỵch	hw ʷi6 tʃ
huyên	hw ʷiə1 n
huyền	hw ʷiə2 n
huyễn	hw ʷiə3 n
huyện	hw ʷiə6 n
huyết	hw ʷiə5 t
huyệt	hw ʷiə6 t
huynh	hw ʷi1 ɲ
huỳnh	hw ʷi2 ɲ
huýt	hw ʷi5 t
hư	h ɯ1
hứa	h ɯə5
hức	h ɯ5 k
hực	h ɯ6 k
hưng	h ɯ1 ŋ
hừng	h ɯ2 ŋ
hửng	h ɯ4 ŋ
hững	h ɯ3 ŋ
hứng	h ɯ5 ŋ
hước	h ɯə5 k
hướm	h ɯə5 m
hương	h ɯə1 ŋ
hường	h ɯə2 ŋ
hưởng	h ɯə4 ŋ
hướng	h ɯə5 ŋ
hươu	h ɯə1 w
hưu	h ɯ1 w
hữu	h ɯ3 w
hựu	h ɯ6 w
hy	h i1
i	i1
ì	i2
ỉ	i4
ĩ	i3
ị	i6
ỉa	iə4
ích	i5 tʃ
ịch	i6 tʃ
im	i1 m
ỉm	i4 m
in	i1 n
ỉn	i4 n
ín	i5 n
inh	i1 ɲ
ít	i5 t
ỉu	i4 w
kè	k ɛ2
kẻ	k ɛ4
kẽ	k ɛ3
ké	k ɛ5
kem	k ɛ1 m
kèm	k ɛ2 m
kẽm	k ɛ3 m
kém	k ɛ5 m
ken	k ɛ1 n
kèn	k ɛ2 n
kén	k ɛ5 n
kẻng	k ɛ4 ŋ
keo	k eo1
kèo	k eo2
kẻo	k eo4
kẽo	k eo3
kéo	k eo5
kẹo	k eo6
kép	k ɛ5 p
kẹp	k ɛ6 p
két	k ɛ5 t
kẹt	k ɛ6 t
kê	k e1
kề	k e2
kể	k e4
kế	k e5
kệ	k e6
kếch	k e5 tʃ
kệch	k e6 tʃ
kềm	k e2 m
kên	k e1 n
kền	k e2 n
kênh	k e1 ɲ
kềnh	k e2 ɲ
kết	k e5 t
kêu	k ɛu1
kha	x a1
khả	x a4
khá	x a5
khác	x a5 k
khạc	x a6 k
khách	x a5 tʃ
khai	x a1 j
khải	x a4 j
khái	x a5 j
khảm	x a4 m
khám	x a5 m
khan	x a1 n
khàn	x a2 n
khản	x a4 n
khán	x a5 n
khang	x a1 ŋ
khảng	x a4 ŋ
kháng	x a5 ŋ
khạng	x a6 ŋ
khanh	x ɛ1 ɲ
khảnh	x ɛ4 ɲ
khánh	x ɛ5 ɲ
khao	x a1 w
khảo	x a4 w
kháo	x a5 w
khát	x a5 t
kháu	x ă5 w
khay	x ă1 j
khảy	x ă4 j
khắc	x ă5 k
khăm	x ă1 m
khăn	x ă1 n
khăng	x ă1 ŋ
khẳng	x ă4 ŋ
khắng	x ă5 ŋ
khắp	x ă5 p
khắt	x ă5 t
khâm	x ɤ̆1 m
khấm	x ɤ̆5 m
khẩn	x ɤ̆4 n
khấn	x ɤ̆5 n
khấp	x ɤ̆5 p
khập	x ɤ̆6 p
khất	x ɤ̆5 t
khâu	x ɤ̆1 w
khẩu	x ɤ̆4 w
khấu	x ɤ̆5 w
khe	x ɛ1
khè	x ɛ2
khẽ	x ɛ3
khem	x ɛ1 m
khen	x ɛ1 n
khèn	x ɛ2 n
kheo	x eo1
khèo	x eo2
khéo	x eo5
khép	x ɛ5 p
khét	x ɛ5 t
khê	x e1
khế	x e5
khệ	x e6
khểnh	x e4 ɲ
khệnh	x e6 ɲ
khêu	x ɛu1
khều	x ɛu2
khi	x i1
khỉ	x i4
khí	x i5
khía	x iə5
khích	x i5 tʃ
khiêm	x iə1 m
khiếm	x iə5 m
khiên	x iə1 n
khiển	x iə4 n
khiến	x iə5 n
khiêng	x iə1 ŋ
khiễng	x iə3 ŋ
khiếp	x iə5 p
khiết	x iə5 t
khiêu	x iə1 w
khiếu	x iə5 w
khinh	x i1 ɲ
khỉnh	x i4 ɲ
khít	x i5 t
khịt	x i6 t
kho	x ɔ1
khò	x ɔ2
khó	x ɔ5
khoa	xw ʷa1
khoá	xw ʷa5
khỏa	xw ʷa4
khóa	xw ʷa5
khoác	xw ʷa5 k
khoai	xw a1 j
khoải	xw a4 j
khoái	xw a5 j
khoan	xw ʷa1 n
khoản	xw ʷa4 n
khoán	xw ʷa5 n
khoang	xw ʷa1 ŋ
khoảng	xw ʷa4 ŋ
khoáng	xw ʷa5 ŋ
khoanh	xw ʷa1 ɲ
khoảnh	xw ʷa4 ɲ
khoát	xw ʷa5 t
khoáy	xw ă5 j
khoăn	xw ʷă1 n
khoắng	xw ʷă5 ŋ
khoắt	xw ʷă5 t
khóc	x ɔ5 k͡p
khoe	xw ʷɛ1
khoé	xw ʷɛ5
khỏe	xw ʷɛ4
khóe	xw ʷɛ5
khoen	xw ʷɛ1 n
khoèo	xw e2 w
khoét	xw ʷɛ5 t
khỏi	x ɔ4 j
khói	x ɔ5 j
khom	x ɔ1 m
khòm	x ɔ2 m
khóm	x ɔ5 m
khô	x o1
khổ	x o4
khỗ	x o3
khố	x o5
khốc	x o5 k͡p
khôi	x o1 j
khối	x o5 j
khôn	x o1 n
khốn	x o5 n
không	x o1 ŋ͡m
khổng	x o4 ŋ͡m
khống	x o5 ŋ͡m
khờ	x ɤ2
khơi	x ɤ1 j
khởi	x ɤ4 j
khớm	x ɤ5 m
khớp	x ɤ5 p
khu	x u1
khù	x u2
khụ	x u6
khua	x uə1
khuân	xw ʷɤ̆1 n
khuẩn	xw ʷɤ̆4 n
khuâng	xw ʷɤ̆1 ŋ
khuất	xw ʷɤ̆5 t
khuây	xw ɤ̆1 j
khuấy	xw ɤ̆5 j
khúc	x u5 k͡p
khuê	xw ʷe1
khum	x u1 m
khúm	x u5 m
khung	x u1 ŋ͡m
khủng	x u4 ŋ͡m
khuôn	x uə1 n
khuông	x uə1 ŋ
khuy	xw ʷi1
khuya	xw ʷiə1
khuyên	xw ʷiə1 n
khuyến	xw ʷiə5 n
khuyết	xw ʷiə5 t
khuynh	xw ʷi1 ɲ
khuỷu	xw ʷiu4
khuỵu	xw ʷiu6
khư	x ɯ1
khử	x ɯ4
khứ	x ɯ5
khự	x ɯ6
khứa	x ɯə5
khừng	x ɯ2 ŋ
khựng	x ɯ6 ŋ
khước	x ɯə5 k
khương	x ɯə1 ŋ
khứu	x ɯ5 w
kì	k i2
kỉ	k i4
kĩ	k i3
kí	k i5
kị	k i6
kia	k iə1
kìa	k iə2
kích	k i5 tʃ
kịch	k i6 tʃ
kiêm	k iə1 m
kiềm	k iə2 m
kiểm	k iə4 m
kiếm	k iə5 m
kiệm	k iə6 m
kiên	k iə1 n
kiến	k iə5 n
kiện	k iə6 n
kiêng	k iə1 ŋ
kiềng	k iə2 ŋ
kiểng	k iə4 ŋ
kiễng	k iə3 ŋ
kiếng	k iə5 ŋ
kiếp	k iə5 p
kiết	k iə5 t
kiệt	k iə6 t
kiêu	k iə1 w
kiều	k iə2 w
kiểu	k iə4 w
kiệu	k iə6 w
kim	k i1 m
kìm	k i2 m
kín	k i5 n
kinh	k i1 ɲ
kình	k i2 ɲ
kỉnh	k i4 ɲ
kính	k i5 ɲ
kíp	k i5 p
kịp	k i6 p
kịt	k i6 t
kon	k ɔ1 n
kông	k o1 ŋ͡m
kơi	k ɤ1 j
kỳ	k i2
kỷ	k i4
kỹ	k i3
ký	k i5
kỵ	k i6
la	l a1
là	l a2
lả	l a4
lã	l a3
lá	l a5
lạ	l a6
lác	l a5 k
lạc	l a6 k
lách	l a5 tʃ
lạch	l a6 tʃ
lai	l a1 j
lài	l a2 j
lải	l a4 j
lãi	l a3 j
lái	l a5 j
lại	l a6 j
lam	l a1 m
làm	l a2 m
lảm	l a4 m
lãm	l a3 m
lạm	l a6 m
lan	l a1 n
làn	l a2 n
lãn	l a3 n
lán	l a5 n
lạn	l a6 n
lang	l a1 ŋ
làng	l a2 ŋ
lảng	l a4 ŋ
lãng	l a3 ŋ
láng	l a5 ŋ
lạng	l a6 ŋ
lanh	l ɛ1 ɲ
lành	l ɛ2 ɲ
lảnh	l ɛ4 ɲ
lãnh	l ɛ3 ɲ
lánh	l ɛ5 ɲ
lạnh	l ɛ6 ɲ
lao	l a1 w
lào	l a2 w
lảo	l a4 w
lão	l a3 w
láo	l a5 w
lạo	l a6 w
láp	l a5 p
lạp	l a6 p
lát	l a5 t
lạt	l a6 t
lau	l ă1 w
làu	l ă2 w
láu	l ă5 w
lay	l ă1 j
lảy	l ă4 j
láy	l ă5 j
lạy	l ă6 j
lắc	l ă5 k
lăm	l ă1 m
lằm	l ă2 m
lắm	l ă5 m
lăn	l ă1 n
lằn	l ă2 n
lặn	l ă6 n
lăng	l ă1 ŋ
lằng	l ă2 ŋ
lẳng	l ă4 ŋ
lắng	l ă5 ŋ
lặng	l ă6 ŋ
lắp	l ă5 p
lặp	l ă6 p
lắt	l ă5 t
lặt	l ă6 t
lâm	l ɤ̆1 m
lầm	l ɤ̆2 m
lẩm	l ɤ̆4 m
lẫm	l ɤ̆3 m
lấm	l ɤ̆5 m
lân	l ɤ̆1 n
lần	l ɤ̆2 n
lẩn	l ɤ̆4 n
lẫn	l ɤ̆3 n
lấn	l ɤ̆5 n
lận	l ɤ̆6 n
lâng	l ɤ̆1 ŋ
lấp	l ɤ̆5 p
lập	l ɤ̆6 p
lất	l ɤ̆5 t
lật	l ɤ̆6 t
lâu	l ɤ̆1 w
lầu	l ɤ̆2 w
lẩu	l ɤ̆4 w
lấu	l ɤ̆5 w
lậu	l ɤ̆6 w
lây	l ɤ̆1 j
lầy	l ɤ̆2 j
lẩy	l ɤ̆4 j
lẫy	l ɤ̆3 j
lấy	l ɤ̆5 j
le	l ɛ1
lè	l ɛ2
lẻ	l ɛ4
lẽ	l ɛ3
lé	l ɛ5
lẹ	l ɛ6
lem	l ɛ1 m
lém	l ɛ5 m
len	l ɛ1 n
lẻn	l ɛ4 n
lẽn	l ɛ3 n
lén	l ɛ5 n
lèng	l ɛ2 ŋ
léng	l ɛ5 ŋ
leo	l eo1
lèo	l eo2
lẻo	l eo4
lẽo	l eo3
léo	l eo5
lẹo	l eo6
lép	l ɛ5 p
lét	l ɛ5 t
lẹt	l ɛ6 t
lê	l e1
lề	l e2
lể	l e4
lễ	l e3
lệ	l e6
lếch	l e5 tʃ
lệch	l e6 tʃ
lên	l e1 n
lênh	l e1 ɲ
lềnh	l e2 ɲ
lệnh	l e6 ɲ
lết	l e5 t
lêu	l ɛu1
lều	l ɛu2
li	l i1
lì	l i2
lí	l i5
lị	l i6
lia	l iə1
lìa	l iə2
lịa	l iə6
lịch	l i6 tʃ
liếc	l iə5 k
liêm	l iə1 m
liềm	l iə2 m
liếm	l iə5 m
liệm	l iə6 m
liên	l iə1 n
liền	l iə2 n
liến	l iə5 n
liêng	l iə1 ŋ
liếng	l iə5 ŋ
liệng	l iə6 ŋ
liệt	l iə6 t
liêu	l iə1 w
liều	l iə2 w
liễu	l iə3 w
liệu	l iə6 w
lim	l i1 m
lìm	l i2 m
lịm	l i6 m
linh	l i1 ɲ
lình	l i2 ɲ
lỉnh	l i4 ɲ
lĩnh	l i3 ɲ
lính	l i5 ɲ
lịnh	l i6 ɲ
lít	l i5 t
liu	l i1 w
líu	l i5 w
lo	l ɔ1
lò	l ɔ2
ló	l ɔ5
lọ	l ɔ6
loa	lw ʷa1
lòa	lw ʷa2
lõa	lw ʷa3
loai	lw a1 j
loài	lw a2 j
loại	lw a6 j
loan	lw ʷa1 n
loàn	lw ʷa2 n
loạn	lw ʷa6 n
loang	lw ʷa1 ŋ
loảng	lw ʷa4 ŋ
loãng	lw ʷa3 ŋ
loáng	lw ʷa5 ŋ
loạng	lw ʷa6 ŋ
loanh	lw ʷa1 ɲ
loạt	lw ʷa6 t
loay	lw ă1 j
loắt	lw ʷă5 t
lóc	l ɔ5 k͡p
lọc	l ɔ6 k͡p
loe	lw ʷɛ1
lòe	lw ʷɛ2
lóe	lw ʷɛ5
loét	lw ʷɛ5 t
loẹt	lw ʷɛ6 t
loi	l ɔ1 j
lòi	l ɔ2 j
lỏi	l ɔ4 j
lõi	l ɔ3 j
lói	l ɔ5 j
lọi	l ɔ6 j
lom	l ɔ1 m
lòm	l ɔ2 m
lỏm	l ɔ4 m
lõm	l ɔ3 m
lóm	l ɔ5 m
lon	l ɔ1 n
lỏn	l ɔ4 n
long	l ɔ1 ŋ͡m
lòng	l ɔ2 ŋ͡m
lỏng	l ɔ4 ŋ͡m
lõng	l ɔ3 ŋ͡m
lóng	l ɔ5 ŋ͡m
lọng	l ɔ6 ŋ͡m
lót	l ɔ5 t
lọt	l ɔ6 t
lô	l o1
lồ	l o2
lổ	l o4
lỗ	l o3
lố	l o5
lộ	l o6
lốc	l o5 k͡p
lộc	l o6 k͡p
lôi	l o1 j
lồi	l o2 j
lỗi	l o3 j
lối	l o5 j
lội	l o6 j
lôm	l o1 m
lồm	l o2 m
lổn	l o4 n
lốn	l o5 n
lộn	l o6 n
lông	l o1 ŋ͡m
lồng	l o2 ŋ͡m
lổng	l o4 ŋ͡m
lộng	l o6 ŋ͡m
lốp	l o5 p
lộp	l o6 p
lốt	l o5 t
lột	l o6 t
lơ	l ɤ1
lờ	l ɤ2
lở	l ɤ4
lỡ	l ɤ3
lợ	l ɤ6
lơi	l ɤ1 j
lời	l ɤ2 j
lởi	l ɤ4 j
